Hotel Name,Place,Review (Points,Review (Cat.),Review (Count),Distance (City Centre),Metro Facilities,Description
Emporium Hotel South Bank,"South Brisbane, Brisbane",9.2,Superb,4667,1.4 km from centre,,"Boasting a fitness centre and views of the river, Emporium Hotel South Bank is set in Brisbane, 400 metres from South Bank Parklands."
The Calile Hotel,"Fortitude Valley, Brisbane",9.3,Superb,1080,2.3 km from centre,,"Located in the city of Brisbane, with direct access to restaurants, shopping and bars, The Calile Hotel features an outdoor pool, fitness centre and spa facilities."
